Metric,overall,sex_priv,sex_dis,race_priv,race_dis,sex&race_priv,sex&race_dis,Model_Seed,Model_Name,Run_Number
FPR,0.25044091710758376,0.17164179104477612,0.2748267898383372,0.21189591078066913,0.28523489932885904,0.1774193548387097,0.3230088495575221,205,KNeighborsClassifier,Run_2
Accuracy,0.6685606060606061,0.6893203883495146,0.6635294117647059,0.6443418013856813,0.6853932584269663,0.6914893617021277,0.684931506849315,205,KNeighborsClassifier,Run_2
F1,0.6162280701754386,0.49206349206349204,0.6361323155216285,0.4652777777777778,0.6858974358974359,0.49122807017543857,0.7099099099099099,205,KNeighborsClassifier,Run_2
Selection-Rate,0.4005681818181818,0.2621359223300971,0.43411764705882355,0.2863741339491917,0.4799357945425361,0.26595744680851063,0.5283757338551859,205,KNeighborsClassifier,Run_2
Positive-Rate,0.8650306748466258,0.75,0.8848920863309353,0.7560975609756098,0.92,0.78125,0.9473684210526315,205,KNeighborsClassifier,Run_2
General_Ensemble_Accuracy,0.6723484848484849,0.6807511737089202,0.6702253855278766,0.6769596199524941,0.6692913385826772,0.660377358490566,0.6628787878787878,305,KNeighborsClassifier,Run_3
Mean,0.5319242424242424,0.5789107981220657,0.5200521945432978,0.6007410926365795,0.4862992125984251,0.6181132075471698,0.47540151515151513,305,KNeighborsClassifier,Run_3
Std,0.09117513212557168,0.09157658131749033,0.0910736983439837,0.09149963764898048,0.09095998751871325,0.09235654023649478,0.09099161651292788,305,KNeighborsClassifier,Run_3
IQR,0.11893939393939393,0.11938967136150234,0.1188256227758007,0.1224940617577197,0.11658267716535434,0.12283018867924526,0.11670454545454544,305,KNeighborsClassifier,Run_3
Entropy,0.2134148600445234,0.0,0.2097646393649703,0.0,0.2290866536333259,0.0,0.21883437629533545,305,KNeighborsClassifier,Run_3
Jitter,0.1579124579124579,0.1673448095983307,0.15552919467510215,0.1397730271839535,0.16993875765529307,0.12788259958071285,0.16254208754208752,305,KNeighborsClassifier,Run_3
Per_Sample_Accuracy,0.6577651515151516,0.6704225352112677,0.6545670225385527,0.6622327790973871,0.6548031496062992,0.6584905660377359,0.6492424242424243,305,KNeighborsClassifier,Run_3
Label_Stability,0.7924242424242424,0.7821596244131457,0.7950177935943061,0.8175771971496438,0.775748031496063,0.8339622641509434,0.7848484848484848,305,KNeighborsClassifier,Run_3
TPR,0.6021276595744681,0.4931506849315068,0.6221662468513854,0.43356643356643354,0.6758409785932722,0.34285714285714286,0.6816608996539792,305,KNeighborsClassifier,Run_3
TNR,0.7286689419795221,0.7785714285714286,0.7130044843049327,0.802158273381295,0.6623376623376623,0.8169014084507042,0.6401673640167364,305,KNeighborsClassifier,Run_3
PPV,0.6402714932126696,0.5373134328358209,0.6586666666666666,0.5299145299145299,0.68,0.48,0.696113074204947,305,KNeighborsClassifier,Run_3
FNR,0.39787234042553193,0.5068493150684932,0.3778337531486146,0.5664335664335665,0.3241590214067278,0.6571428571428571,0.31833910034602075,305,KNeighborsClassifier,Run_3
FPR,0.2713310580204778,0.22142857142857142,0.28699551569506726,0.19784172661870503,0.33766233766233766,0.18309859154929578,0.3598326359832636,305,KNeighborsClassifier,Run_3
Accuracy,0.6723484848484849,0.6807511737089202,0.6702253855278766,0.6769596199524941,0.6692913385826772,0.660377358490566,0.6628787878787878,305,KNeighborsClassifier,Run_3
F1,0.6206140350877193,0.5142857142857142,0.6398963730569949,0.47692307692307695,0.6779141104294478,0.4,0.6888111888111889,305,KNeighborsClassifier,Run_3
Selection-Rate,0.4185606060606061,0.3145539906103286,0.44483985765124556,0.27790973871733965,0.5118110236220472,0.2358490566037736,0.5359848484848485,305,KNeighborsClassifier,Run_3
Positive-Rate,0.9404255319148936,0.9178082191780822,0.9445843828715366,0.8181818181818182,0.9938837920489296,0.7142857142857143,0.9792387543252595,305,KNeighborsClassifier,Run_3
General_Ensemble_Accuracy,0.6638257575757576,0.6770833333333334,0.6608796296296297,0.6746987951807228,0.656786271450858,0.6907216494845361,0.6556776556776557,405,KNeighborsClassifier,Run_4
Mean,0.5286098484848485,0.5713541666666667,0.5191111111111111,0.5976674698795181,0.48390015600624026,0.6043298969072165,0.4745421245421246,405,KNeighborsClassifier,Run_4
Std,0.08952300768948068,0.0878678001264565,0.08989083159237496,0.08812093039994918,0.09043074883636924,0.08630536071964512,0.09059910690410004,405,KNeighborsClassifier,Run_4
IQR,0.10517045454545455,0.10203125,0.10586805555555555,0.1034457831325301,0.10628705148205927,0.10237113402061855,0.10708791208791209,405,KNeighborsClassifier,Run_4
Entropy,0.24534048037307032,0.2490524942807398,0.24451558839358828,0.22301116247277483,0.25979705904486855,0.22772073154739017,0.2578768258350834,405,KNeighborsClassifier,Run_4
Jitter,0.1756102693602694,0.17962962962962964,0.17471707818930043,0.16037483266398925,0.1854740856300919,0.16609392898052694,0.1840862840862841,405,KNeighborsClassifier,Run_4
Per_Sample_Accuracy,0.650094696969697,0.6677083333333332,0.6461805555555556,0.6595180722891566,0.6439937597503901,0.677319587628866,0.6415750915750916,405,KNeighborsClassifier,Run_4
Label_Stability,0.7759469696969696,0.7708333333333334,0.7770833333333333,0.7951807228915663,0.7634945397815912,0.7876288659793815,0.7652014652014653,405,KNeighborsClassifier,Run_4
TPR,0.6372950819672131,0.5384615384615384,0.6560975609756098,0.48299319727891155,0.7038123167155426,0.5,0.7224080267558528,405,KNeighborsClassifier,Run_4
