Metric,overall,SEX_priv,SEX_dis,RAC1P_priv,RAC1P_dis,SEX&RAC1P_priv,SEX&RAC1P_dis,Model_Seed,Model_Name,Run_Number
FNR,0.19336706014614952,0.19315673289183222,0.19358533791523483,0.2003244120032441,0.17765567765567766,0.19393939393939394,0.16666666666666666,101,DecisionTreeClassifier,Run_1
FPR,0.1904547501125619,0.12866603595080417,0.24656357388316152,0.18302945301542778,0.2037735849056604,0.11398176291793313,0.255050505050505,101,DecisionTreeClassifier,Run_1
Accuracy,0.80825,0.8415690269994905,0.7761413843888071,0.8089507333584054,0.8068605518269948,0.84597875569044,0.7830459770114943,101,DecisionTreeClassifier,Run_1
F1,0.7891119054165521,0.8245910885504795,0.7553648068669528,0.7951612903225806,0.7761452031114953,0.8397790055248618,0.7680491551459293,101,DecisionTreeClassifier,Run_1
Selection-Rate,0.4645,0.44167091186958735,0.48649975454099165,0.4689732982324182,0.45563012677106635,0.460546282245827,0.5043103448275862,101,DecisionTreeClassifier,Run_1
Positive-Rate,1.0444069702079821,0.956953642384106,1.1351660939289805,1.0113544201135443,1.119047619047619,0.9196969696969697,1.17,101,DecisionTreeClassifier,Run_1
General_Ensemble_Accuracy,0.828,0.8619805028219599,0.7957094100438811,0.8261363636363637,0.8316176470588236,0.8555984555984556,0.7917847025495751,201,DecisionTreeClassifier,Run_2
Mean,0.5565671923794285,0.5355949099807195,0.5764964846247158,0.5487583932151932,0.5717254495805912,0.5210305291873386,0.578479698547855,201,DecisionTreeClassifier,Run_2
Std,0.051680146040499815,0.054983820244504926,0.04854076962723509,0.05195650309189777,0.051143688234844956,0.05603667891861494,0.04951763391282633,201,DecisionTreeClassifier,Run_2
IQR,0.05261202773358302,0.06054797082352553,0.0450707536807805,0.05390110583044176,0.05010969966321016,0.0628117609204822,0.04459267251974361,201,DecisionTreeClassifier,Run_2
Entropy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201,DecisionTreeClassifier,Run_2
Jitter,0.0529,0.042927997263553966,0.062376076710547707,0.05090067340067342,0.05678104575163398,0.04193908193908194,0.06779981114258735,201,DecisionTreeClassifier,Run_2
Per_Sample_Accuracy,0.8211499999999999,0.8533093894304771,0.7905899561189663,0.819659090909091,0.8240441176470586,0.8486486486486486,0.788385269121813,201,DecisionTreeClassifier,Run_2
Label_Stability,0.9261,0.9391482811698307,0.9137006338371527,0.9290151515151515,0.9204411764705883,0.9403861003861004,0.9053824362606233,201,DecisionTreeClassifier,Run_2
TPR,0.8569023569023569,0.8631016042780749,0.8500590318772137,0.8475263584752636,0.8779599271402551,0.8453453453453453,0.85,201,DecisionTreeClassifier,Run_2
TNR,0.8047790802524797,0.8609467455621301,0.7574750830564784,0.8073916133617626,0.8002466091245376,0.8664546899841018,0.7535211267605634,201,DecisionTreeClassifier,Run_2
PPV,0.7790816326530612,0.8512658227848101,0.7114624505928854,0.7940729483282675,0.7484472049689441,0.8701700154559505,0.6938775510204082,201,DecisionTreeClassifier,Run_2
FNR,0.14309764309764308,0.13689839572192514,0.14994096812278632,0.15247364152473641,0.122040072859745,0.15465465465465467,0.15,201,DecisionTreeClassifier,Run_2
FPR,0.1952209197475203,0.1390532544378698,0.2425249169435216,0.19260838663823737,0.1997533908754624,0.13354531001589826,0.24647887323943662,201,DecisionTreeClassifier,Run_2
Accuracy,0.828,0.8619805028219599,0.7957094100438811,0.8261363636363637,0.8316176470588236,0.8555984555984556,0.7917847025495751,201,DecisionTreeClassifier,Run_2
F1,0.8161411010154997,0.8571428571428571,0.7746100053792362,0.8199293840721852,0.8080469404861693,0.8575780654988576,0.7640449438202247,201,DecisionTreeClassifier,Run_2
Selection-Rate,0.49,0.4864032837352488,0.49341784495368113,0.4984848484848485,0.47352941176470587,0.4996138996138996,0.48583569405099153,201,DecisionTreeClassifier,Run_2
Positive-Rate,1.0998877665544333,1.013903743315508,1.1948051948051948,1.067315490673155,1.1730418943533698,0.9714714714714715,1.225,201,DecisionTreeClassifier,Run_2
