Metric,overall,sex_priv,sex_priv_correct,sex_priv_incorrect,sex_dis,sex_dis_correct,sex_dis_incorrect,race_priv,race_priv_correct,race_priv_incorrect,race_dis,race_dis_correct,race_dis_incorrect,sex&race_priv,sex&race_priv_correct,sex&race_priv_incorrect,sex&race_dis,sex&race_dis_correct,sex&race_dis_incorrect,Model_Seed,Model_Name,Model_Params,Run_Number
Aleatoric_Uncertainty,0.8342678138270947,0.8392881766839043,0.8171670893536421,0.9065362821678998,0.8330803275307535,0.8138333238805994,0.8801113122565326,0.8146940256414784,0.7867758952732701,0.882162840697982,0.8466908063288016,0.83168244064989,0.8861510037317823,0.785431861191142,0.7440690320934518,0.8829299583499826,0.8387669965617557,0.8223207873313163,0.8790391242927038,200,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 200, 'verbose': 0, 'warm_start': False}",Run_2
Overall_Uncertainty,0.8565969729214192,0.8621178140729752,0.8386813992241532,0.9333645152133943,0.8552911065132057,0.8352841417405666,0.90417909301409,0.8361301381911416,0.8083010456432017,0.9033837785153297,0.8695867596697379,0.8531078191032612,0.9129134123950813,0.8107855981700315,0.7656964815573287,0.9170670873285447,0.8621172760815847,0.8437456922540277,0.9071041031465003,200,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 200, 'verbose': 0, 'warm_start': False}",Run_2
Jitter,0.09036195286195284,0.08998899889989005,0.06783625730994153,0.1573333333333334,0.09045016913869372,0.07825449211587826,0.12025089605734765,0.08411924119241197,0.07049808429118773,0.11703703703703704,0.09432404540763673,0.07967711301044636,0.13283395755305868,0.09834515366430256,0.054545454545454515,0.2015873015873016,0.0966542750929368,0.08004653868528215,0.13732193732193726,200,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 200, 'verbose': 0, 'warm_start': False}",Run_2
Per_Sample_Accuracy,0.7058712121212122,0.7435643564356436,0.9500000000000001,0.11599999999999999,0.6969555035128805,0.9462046204620461,0.08790322580645162,0.695609756097561,0.9489655172413795,0.08333333333333333,0.7123839009287926,0.9457264957264957,0.09887640449438204,0.7191489361702127,0.9606060606060606,0.14999999999999997,0.7018587360594796,0.9465968586387435,0.10256410256410256,200,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 200, 'verbose': 0, 'warm_start': False}",Run_2
Label_Stability,0.8791666666666668,0.8752475247524754,0.9052631578947368,0.784,0.8800936768149883,0.8976897689768977,0.8370967741935483,0.8868292682926829,0.9062068965517239,0.84,0.8743034055727553,0.8948717948717949,0.8202247191011236,0.8638297872340426,0.9212121212121211,0.7285714285714286,0.8721189591078068,0.8952879581151832,0.8153846153846153,200,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 200, 'verbose': 0, 'warm_start': False}",Run_2
TPR,0.676923076923077,0.675,1.0,0.0,0.6772727272727272,1.0,0.0,0.5294117647058824,1.0,0.0,0.7485714285714286,1.0,0.0,0.5555555555555556,1.0,0.0,0.7450980392156863,1.0,0.0,200,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 200, 'verbose': 0, 'warm_start': False}",Run_2
TNR,0.7574626865671642,0.8032786885245902,1.0,0.0,0.7439613526570048,1.0,0.0,0.8333333333333334,1.0,0.0,0.6959459459459459,1.0,0.0,0.7931034482758621,1.0,0.0,0.6637931034482759,1.0,0.0,200,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 200, 'verbose': 0, 'warm_start': False}",Run_2
PPV,0.7302904564315352,0.6923076923076923,1.0,0.0,0.7376237623762376,1.0,0.0,0.6923076923076923,1.0,0.0,0.7443181818181818,1.0,0.0,0.625,1.0,0.0,0.7450980392156863,1.0,0.0,200,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 200, 'verbose': 0, 'warm_start': False}",Run_2
FNR,0.3230769230769231,0.325,0.0,1.0,0.32272727272727275,0.0,1.0,0.47058823529411764,0.0,1.0,0.25142857142857145,0.0,1.0,0.4444444444444444,0.0,1.0,0.2549019607843137,0.0,1.0,200,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 200, 'verbose': 0, 'warm_start': False}",Run_2
FPR,0.24253731343283583,0.19672131147540983,0.0,1.0,0.2560386473429952,0.0,1.0,0.16666666666666666,0.0,1.0,0.30405405405405406,0.0,1.0,0.20689655172413793,0.0,1.0,0.33620689655172414,0.0,1.0,200,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 200, 'verbose': 0, 'warm_start': False}",Run_2
Accuracy,0.7178030303030303,0.7524752475247525,1.0,0.0,0.7096018735362998,1.0,0.0,0.7073170731707317,1.0,0.0,0.7244582043343654,1.0,0.0,0.7021276595744681,1.0,0.0,0.7100371747211895,1.0,0.0,200,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 200, 'verbose': 0, 'warm_start': False}",Run_2
F1,0.7025948103792415,0.6835443037974683,1.0,0.0,0.7061611374407583,1.0,0.0,0.6,1.0,0.0,0.7464387464387464,1.0,0.0,0.5882352941176471,1.0,0.0,0.7450980392156863,1.0,0.0,200,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 200, 'verbose': 0, 'warm_start': False}",Run_2
Selection-Rate,0.4564393939393939,0.38613861386138615,0.35526315789473684,0.48,0.47306791569086654,0.49174917491749176,0.4274193548387097,0.3170731707317073,0.3103448275862069,0.3333333333333333,0.544891640866873,0.5598290598290598,0.5056179775280899,0.3404255319148936,0.30303030303030304,0.42857142857142855,0.5687732342007435,0.5968586387434555,0.5,200,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 200, 'verbose': 0, 'warm_start': False}",Run_2
Positive-Rate,0.926923076923077,0.975,1.0,0.9230769230769231,0.9181818181818182,1.0,0.7464788732394366,0.7647058823529411,1.0,0.5,1.0057142857142858,1.0,1.0227272727272727,0.8888888888888888,1.0,0.75,1.0,1.0,1.0,200,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 200, 'verbose': 0, 'warm_start': False}",Run_2
