Metric,overall,sex_race_priv,sex_race_dis,sex_priv,sex_dis,race_priv,race_dis,Model_Seed,Model_Name,Run_Number
FPR,0.28471001757469244,0.30158730158730157,0.3702127659574468,0.26356589147286824,0.2909090909090909,0.22388059701492538,0.3388704318936877,101,DecisionTreeClassifier,Run_1
Accuracy,0.6799242424242424,0.6363636363636364,0.6776061776061776,0.6884422110552764,0.6779463243873979,0.6697892271662763,0.6868044515103339,101,DecisionTreeClassifier,Run_1
F1,0.6479166666666667,0.42857142857142855,0.7085514834205934,0.5753424657534246,0.6609336609336609,0.5252525252525253,0.702865761689291,101,DecisionTreeClassifier,Run_1
Selection-Rate,0.4479166666666667,0.3522727272727273,0.5598455598455598,0.38190954773869346,0.4632438739789965,0.3231850117096019,0.5325914149443561,101,DecisionTreeClassifier,Run_1
Positive-Rate,0.971252566735113,1.24,1.0247349823321554,1.0857142857142856,0.9520383693045563,0.8679245283018868,1.021341463414634,101,DecisionTreeClassifier,Run_1
General_Ensemble_Accuracy,0.6732954545454546,0.7011494252873564,0.6779026217228464,0.69,0.669392523364486,0.6650366748166259,0.678516228748068,201,DecisionTreeClassifier,Run_2
Mean,0.523205264546254,0.597906088944695,0.4729124566319561,0.5575787710065475,0.5151740714480545,0.5879500808221478,0.4822769340101787,201,DecisionTreeClassifier,Run_2
Std,0.06980125275334326,0.08349967384793008,0.07138658145968528,0.07664428052917295,0.06820241448796248,0.06729903160634196,0.07138302779062847,201,DecisionTreeClassifier,Run_2
IQR,0.08811751090521558,0.10665126360557829,0.08775148988259493,0.09687422772136475,0.08607154903228352,0.08825577092424039,0.08803011005856774,201,DecisionTreeClassifier,Run_2
Entropy,0.0,0.0,0.0,0.17999041300912746,0.0,0.0,0.0,201,DecisionTreeClassifier,Run_2
Jitter,0.10421736302418116,0.13070939277835825,0.10497068058866053,0.11677979797979839,0.10128221467006526,0.10272603788496293,0.10516010179070474,201,DecisionTreeClassifier,Run_2
Per_Sample_Accuracy,0.6618465909090909,0.6751724137931034,0.6619288389513109,0.6657,0.660946261682243,0.6626894865525671,0.6613137557959815,201,DecisionTreeClassifier,Run_2
Label_Stability,0.855284090909091,0.8137931034482758,0.8575655430711612,0.8321999999999999,0.8606775700934579,0.8547677261613692,0.8556105100463678,201,DecisionTreeClassifier,Run_2
TPR,0.6442105263157895,0.53125,0.7279151943462897,0.6233766233766234,0.6482412060301508,0.46938775510204084,0.7225609756097561,201,DecisionTreeClassifier,Run_2
TNR,0.6970740103270223,0.8,0.6215139442231076,0.7317073170731707,0.6877729257641921,0.7748091603053435,0.6332288401253918,201,DecisionTreeClassifier,Run_2
PPV,0.6348547717842323,0.6071428571428571,0.6843853820598007,0.5925925925925926,0.6433915211970075,0.5390625,0.6694915254237288,201,DecisionTreeClassifier,Run_2
FNR,0.35578947368421054,0.46875,0.27208480565371024,0.37662337662337664,0.35175879396984927,0.5306122448979592,0.2774390243902439,201,DecisionTreeClassifier,Run_2
FPR,0.3029259896729776,0.2,0.3784860557768924,0.2682926829268293,0.31222707423580787,0.22519083969465647,0.3667711598746082,201,DecisionTreeClassifier,Run_2
Accuracy,0.6732954545454546,0.7011494252873564,0.6779026217228464,0.69,0.669392523364486,0.6650366748166259,0.678516228748068,201,DecisionTreeClassifier,Run_2
F1,0.6394984326018809,0.5666666666666667,0.7054794520547946,0.6075949367088608,0.6458072590738423,0.5018181818181818,0.6950146627565983,201,DecisionTreeClassifier,Run_2
Selection-Rate,0.4564393939393939,0.3218390804597701,0.5636704119850188,0.405,0.46845794392523366,0.31295843520782396,0.5471406491499228,201,DecisionTreeClassifier,Run_2
Positive-Rate,1.0147368421052632,0.875,1.0636042402826855,1.051948051948052,1.0075376884422111,0.8707482993197279,1.079268292682927,201,DecisionTreeClassifier,Run_2
