Metric,Model_Name,Dataset_Name,Fairness_Intervention,Experiment_Iteration,Subgroup,Metric_Value
Epistemic_Uncertainty_Difference,LogisticRegression,Folktables_GA_2018_Income,Baseline,Exp_iter_1,RAC1P,0.00011930643239022043
Epistemic_Uncertainty_Ratio,LogisticRegression,Folktables_GA_2018_Income,Baseline,Exp_iter_1,RAC1P,1.006241287467076
Equalized_Odds_FNR,LogisticRegression,Folktables_GA_2018_Income,Baseline,Exp_iter_1,RAC1P,0.049768689859363446
Equalized_Odds_FPR,LogisticRegression,Folktables_GA_2018_Income,Baseline,Exp_iter_1,RAC1P,-0.0359703675687911
IQR_Difference,LogisticRegression,Folktables_GA_2018_Income,Baseline,Exp_iter_1,RAC1P,-0.004311156989266901
Jitter_Difference,LogisticRegression,Folktables_GA_2018_Income,Baseline,Exp_iter_1,RAC1P,-0.008667840597817972
Label_Stability_Ratio,LogisticRegression,Folktables_GA_2018_Income,Baseline,Exp_iter_1,RAC1P,1.0127240510432598
Label_Stability_Difference,LogisticRegression,Folktables_GA_2018_Income,Baseline,Exp_iter_1,RAC1P,0.0114272214363339
Overall_Uncertainty_Difference,LogisticRegression,Folktables_GA_2018_Income,Baseline,Exp_iter_1,RAC1P,-0.06079667962574231
Overall_Uncertainty_Ratio,LogisticRegression,Folktables_GA_2018_Income,Baseline,Exp_iter_1,RAC1P,0.8993282264105318
Statistical_Parity_Difference,LogisticRegression,Folktables_GA_2018_Income,Baseline,Exp_iter_1,RAC1P,-0.10473239778871271
Disparate_Impact,LogisticRegression,Folktables_GA_2018_Income,Baseline,Exp_iter_1,RAC1P,0.6987593919273108
Std_Difference,LogisticRegression,Folktables_GA_2018_Income,Baseline,Exp_iter_1,RAC1P,-0.0031172961523886766
Std_Ratio,LogisticRegression,Folktables_GA_2018_Income,Baseline,Exp_iter_1,RAC1P,0.9453515003638596
Equalized_Odds_TNR,LogisticRegression,Folktables_GA_2018_Income,Baseline,Exp_iter_1,RAC1P,0.03597036756879113
Equalized_Odds_TPR,LogisticRegression,Folktables_GA_2018_Income,Baseline,Exp_iter_1,RAC1P,-0.049768689859363446
Accuracy_Difference,MLPClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,RAC1P,0.036938680459730255
Aleatoric_Uncertainty_Difference,MLPClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,RAC1P,-0.06785976575583225
Aleatoric_Uncertainty_Ratio,MLPClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,RAC1P,0.8535804734523486
Epistemic_Uncertainty_Difference,MLPClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,RAC1P,-0.00557227817332745
